,Country,index,gdppc,Nrrent,TIME,pop,life_exp,muslim,female_uni,female_over_male,IQ,SelfEfficacy,SelfConcept,math_anxiety,equality_index,f_STEM,loggdppc,hy_f_STEM
165,El Salvador,702,7717.696779999999,0.9,2012.0,6072.233,0.20181982476627627,0.0,58.224869999999996,0.2887493394960537,80.0,,,,-0.048971214000000006,28.696209999999997,8.951271253945645,22.40539185137157
166,El Salvador,705,8095.55898,0.9,2015.0,6126.5830000000005,0.20256674887127127,0.0,56.65826,0.27270807208846076,80.0,,,,-0.048971214000000006,26.28067,8.999070916229265,21.42738606512947
167,Albania,707,5470.0175899999995,1.8,2000.0,3121.965,0.1687379583051059,70.0,66.94826,0.23697171661105698,90.0,0.03,-0.02,-0.04,-0.24765598,32.43243,8.607037111132977,19.157407839549528
168,Albania,710,6615.31821,1.8,2003.0,3117.045,0.17531829023963402,70.0,72.39523,0.30204629887338597,90.0,0.03,-0.02,-0.04,-0.24765598,44.20063,8.797143179700472,23.197815556538647
169,Albania,718,10209.200990000001,1.8,2011.0,2886.01,0.187575580126195,70.0,63.34721999999999,0.5354692129852419,90.0,0.03,-0.02,-0.04,-0.24765598,48.064209999999996,9.23104465050583,34.87332786986909
170,Albania,722,11015.16388,1.8,2015.0,2896.679,0.18296159153292443,70.0,64.32939,0.62788612362119,90.0,0.03,-0.02,-0.04,-0.24765598,53.10333000000001,9.30702813701955,38.57064167513597
171,Costa Rica,725,10040.569109999999,1.3,2001.0,3996.8,0.1851301040832666,0.1,61.126580000000004,0.297315738764663,89.0,0.35,0.4,0.45,-0.05065504400000001,31.85756,9.214389075902176,22.917762413626047
172,Costa Rica,726,10201.57768,1.3,2002.0,4063.208,0.18632494324681384,0.1,62.3172,0.2569548988201263,89.0,0.35,0.4,0.45,-0.05065504400000001,29.82132,9.230297661821298,20.44265065208973
173,Costa Rica,731,12433.21295,1.3,2007.0,4369.465,0.18642213634850033,0.1,64.18653,0.2663389458235514,89.0,0.35,0.4,0.45,-0.05065504400000001,32.31098,9.428126634611294,21.032200478548845
174,Costa Rica,734,13000.012209999999,1.3,2010.0,4545.273,0.18139570494445548,0.1,63.252359999999996,0.2332835983612687,89.0,0.35,0.4,0.45,-0.05065504400000001,28.650009999999998,9.472705575674002,18.91564913952033
175,Costa Rica,735,13397.19269,1.3,2011.0,4600.487,0.1791516854628651,0.1,63.87745,0.27687256704199,89.0,0.35,0.4,0.45,-0.05065504400000001,32.86825,9.502800463244387,21.683649111782117
176,Costa Rica,739,14646.569819999999,1.3,2015.0,4807.85,0.16845429869900266,0.1,62.921369999999996,0.2686115751327265,89.0,0.35,0.4,0.45,-0.05065504400000001,31.31045,9.591961445050178,21.173665793221492
177,Canada,740,35903.15453,0.9,1999.0,30420.216,0.13553269970206655,2.0,57.413909999999994,0.3417074305346299,99.0,0.32,0.38,0.38,-0.012813456666666664,31.538940000000004,10.48858044053247,25.468103012477897
178,Canada,743,38500.31708,0.9,2002.0,31288.572,0.1361934958233313,2.0,58.37406,0.34341001398228915,99.0,0.32,0.38,0.38,-0.012813456666666664,32.50452,10.558421756086117,25.562561720402403
179,Bahrain,761,44158.2693,24.5,2003.0,761.595,0.17810909998096103,85.0,69.5499,0.4378168797231628,83.0,,,,-0.3913963566666667,50.0,10.69553548860688,30.450114051203798
180,Bahrain,763,44305.88189,24.5,2005.0,867.0139999999999,0.16988306993889374,85.0,67.8706,0.5509441801597347,83.0,,,,-0.3913963566666667,53.78549,10.698872721260166,35.52314694542984
181,Bahrain,764,43471.82828,24.5,2006.0,940.808,0.1779045246213893,85.0,67.85838000000001,0.4023542968888723,83.0,,,,-0.3913963566666667,45.93023,10.67986838152951,28.691344104802663
182,Bahrain,773,43753.898180000004,24.5,2015.0,1377.237,0.15233108027158723,85.0,60.79775,0.473474989267129,83.0,,,,-0.3913963566666667,42.33983,10.686335989073623,32.133221989918134
183,Chad,775,993.0922699999999,13.1,2000.0,8343.321,0.1896187381499525,54.0,12.727269999999999,0.29179307094350143,68.0,,,,-0.46653932800000003,4.0816300000000005,6.900823580171437,22.58822078449308
184,India,805,5089.58071,1.9,2013.0,1279498.874,0.18640254231282738,13.4,49.114509999999996,0.7526637247271694,82.0,,,,-0.26502379800000003,42.07829,8.534950730905962,42.943989432104765
185,India,806,5391.69415,1.9,2014.0,1295291.543,0.18531568301917029,13.4,50.21543,0.727335187166985,82.0,,,,-0.26502379800000003,42.31756,8.592614928060488,42.10735661327508
186,India,807,5729.777239999999,1.9,2015.0,1311050.527,0.1842340184651022,13.4,50.45324,0.7130506564745603,82.0,,,,-0.26502379800000003,42.06579,8.65343193286234,41.62461009425202
187,Gambia,813,1613.96808,7.7,2004.0,1394.727,0.20180365046349572,90.0,14.46809,0.5499319170776651,66.0,,,,-0.523960902,8.510639999999999,7.386451071682655,35.48103700674413
188,Gambia,820,1532.494,7.7,2011.0,1749.099,0.19430632571398188,90.0,50.78155,0.9610630451554822,66.0,,,,-0.523960902,49.78873,7.334651752631413,49.00724877405891
189,Guatemala,845,6125.76823,2.3,2002.0,12272.208,0.20717926228108258,0.01,46.89183,0.5308910561487435,79.0,,,,-0.13175487800000002,31.914890000000003,8.720259452853954,34.678565402576986
190,Guatemala,850,6665.77739,2.3,2007.0,13797.628999999999,0.20487788155486716,0.01,49.662440000000004,0.5173242088992261,79.0,,,,-0.13175487800000002,33.79175,8.80474186347058,34.094507018676616
191,Guatemala,858,7252.949970000001,2.3,2015.0,16342.896999999999,0.20705704747450837,0.01,62.381240000000005,0.32033321850904595,79.0,,,,-0.13175487800000002,34.6914,8.889163557504244,24.261543526926815
192,Dominican Republic,892,13371.5288,2.0,2015.0,10528.391000000001,0.18216525203138825,0.02,63.159,0.41518510319866014,82.0,,,,-0.03672314000000001,41.58126,9.500883009108772,29.3378655739268
193,Finland,911,33094.83843,0.6,1999.0,5164.78,0.12699321171472938,0.2,60.00263,0.23000623347460267,99.0,0.45,0.39,0.44,-0.010958607499999998,25.653170000000003,10.407132610534761,18.699599011369713
194,Finland,912,34887.1788,0.6,2000.0,5176.482,0.12743442361047522,0.2,61.69724,0.23944262555876641,99.0,0.45,0.39,0.44,-0.010958607499999998,27.833740000000002,10.459874671066258,19.318572769822296
195,Finland,913,35706.15333,0.6,2001.0,5188.446,0.1276359048547484,0.2,61.06293,0.24106858952781837,99.0,0.45,0.39,0.44,-0.010958607499999998,27.43395,10.48307831509995,19.424276108666664
196,Finland,914,36218.24016,0.6,2002.0,5200.6320000000005,0.12711301241849066,0.2,61.5281,0.24585927762254967,99.0,0.45,0.39,0.44,-0.010958607499999998,28.222929999999998,10.497318142736285,19.73411299643074
197,Finland,915,36852.44392,0.6,2003.0,5213.8,0.12613679082435075,0.2,61.974380000000004,0.2713355722195899,99.0,0.45,0.39,0.44,-0.010958607499999998,30.54386,10.514677216178196,21.342561173355083
198,Finland,916,38188.25109,0.6,2004.0,5228.842000000001,0.12517819433059937,0.2,62.15551,0.2656352255263269,99.0,0.45,0.39,0.44,-0.010958607499999998,30.2183,10.550283184198435,20.988292690404524
199,Finland,921,38867.79945,0.6,2009.0,5340.485,0.12352717028509584,0.2,62.812430000000006,0.24971001633742249,99.0,0.45,0.39,0.44,-0.010958607499999998,29.47113,10.567921409174483,19.981436739161147
200,Finland,922,39848.1345,0.6,2010.0,5367.693,0.1229233862666885,0.2,60.10089,0.26011410649072725,99.0,0.45,0.39,0.44,-0.010958607499999998,27.9516,10.592830870073662,20.64210734177995
201,Finland,923,40683.52758,0.6,2011.0,5395.816,0.12268487287186962,0.2,61.25659,0.2620119694220043,99.0,0.45,0.39,0.44,-0.010958607499999998,29.28552,10.613578561742171,20.761448842835033
202,Finland,924,39912.941360000004,0.6,2012.0,5424.644,0.12230756525220826,0.2,60.98206,0.2523868802591885,99.0,0.45,0.39,0.44,-0.010958607499999998,28.271690000000003,10.594455895151686,20.152469196016778
203,Finland,925,39428.312060000004,0.6,2013.0,5453.061,0.12160234407794082,0.2,60.13086,0.2512877645282353,99.0,0.45,0.39,0.44,-0.010958607499999998,27.48335,10.582239417433932,20.082332110310105
204,Finland,926,38987.41962,0.6,2014.0,5479.66,0.12039104615979823,0.2,60.4087,0.24547039755258154,99.0,0.45,0.39,0.44,-0.010958607499999998,27.248409999999996,10.570994299227495,19.70905113722048
205,Finland,927,38940.92975,0.6,2015.0,5503.456999999999,0.11862852748735932,0.2,59.94475,0.2541084215703438,99.0,0.45,0.39,0.44,-0.010958607499999998,27.551270000000002,10.569801155117784,20.2620776002891
206,Australia,928,34338.77831,4.8,1999.0,18906.936,0.13691578582590005,1.5,56.12331999999999,0.4001934416347632,98.0,0.43,0.41,0.36,-0.016162806666666665,33.85777,10.44403055752275,28.581296679087902
207,Australia,929,35244.50263,4.8,2000.0,19107.251,0.13477862409406774,1.5,56.17034,0.3983468142194325,98.0,0.43,0.41,0.36,-0.016162806666666665,33.79698,10.470064842319498,28.48698264041118
208,Australia,931,36363.74253,4.8,2002.0,19514.385,0.13588739793747023,1.5,55.27077,0.374919853877361,98.0,0.43,0.41,0.36,-0.016162806666666665,31.66033,10.501327472862487,27.268487891862446
209,Australia,932,37020.734939999995,4.8,2003.0,19735.255,0.1370362835443474,1.5,55.50365,0.3740171292892581,98.0,0.43,0.41,0.36,-0.016162806666666665,31.84937,10.519233438442585,27.220703535386566
210,Australia,934,38818.84192,4.8,2005.0,20274.282,0.13857506766454172,1.5,56.041340000000005,0.3720518150950808,98.0,0.43,0.41,0.36,-0.016162806666666665,32.171929999999996,10.56666102423268,27.116455151462212
211,Australia,935,39391.33807,4.8,2006.0,20606.228,0.14085765720926705,1.5,55.82986,0.35362762684391985,98.0,0.43,0.41,0.36,-0.016162806666666665,30.923070000000003,10.581301225177278,26.124439235067044
212,Australia,936,40617.009939999996,4.8,2007.0,20975.949,0.14220462683237836,1.5,55.89063,0.365316608673788,98.0,0.43,0.41,0.36,-0.016162806666666665,31.688409999999998,10.611942221888306,26.756915308357776
213,Australia,937,41286.81739,4.8,2008.0,21370.347999999998,0.14249477827876272,1.5,55.92455,0.3545032656672326,98.0,0.43,0.41,0.36,-0.016162806666666665,31.08425,10.628298536471243,26.172197192348825
214,Australia,938,41180.54799,4.8,2009.0,21770.69,0.14188245756106033,1.5,56.44961,0.3446518348478346,98.0,0.43,0.41,0.36,-0.016162806666666665,30.893929999999997,10.625721287681197,25.63130662643513
215,Australia,940,41763.11851,4.8,2011.0,22542.371,0.13940365900286178,1.5,57.28211999999999,0.32286656215926485,98.0,0.43,0.41,0.36,-0.016162806666666665,30.18985,10.639768896731937,24.406585773266656
216,Australia,942,42845.49132,4.8,2013.0,23270.465,0.13647389512843855,1.5,57.639419999999994,0.3251254201331921,98.0,0.43,0.41,0.36,-0.016162806666666665,30.670790000000004,10.665355698419894,24.53544511284923
217,Australia,943,43273.857639999995,4.8,2014.0,23622.353,0.13449621212586232,1.5,57.96089,0.3252636080234978,98.0,0.43,0.41,0.36,-0.016162806666666665,30.960820000000002,10.675303982006788,24.54331395310831
218,Indonesia,992,10031.32195,2.3,2014.0,254454.77800000002,0.17041592357129953,88.22,52.14476,0.5505709791121117,87.0,0.06,0.07,0.06,-0.15321828000000004,37.49694,9.213467671872372,35.50762825622983
219,Angola,1011,3835.2870000000003,32.0,1999.0,14601.983,0.19335271106670923,1.0,45.87814,0.7078126663359766,68.0,,,,-0.17191626600000004,37.5,8.251999548028586,41.44556837457775
220,Angola,1014,3473.1735700000004,32.0,2002.0,16109.696000000002,0.19299606895127006,1.0,40.69767,0.9969926103680321,68.0,,,,-0.17191626600000004,40.625,8.152824028460428,49.92470203403973
221,Greece,1033,29469.5266,0.1,2004.0,11047.739,0.13025488744801086,1.3,60.901630000000004,0.4466033143554624,92.0,0.25,0.32,0.24,-0.04922776500000001,41.02564,10.291112011809028,30.87254881304123
222,Greece,1034,29559.281389999996,0.1,2005.0,11069.662,0.1270257393586182,1.3,61.48283000000001,0.44195215868709253,92.0,0.25,0.32,0.24,-0.04922776500000001,41.364909999999995,10.29415306455013,30.64957155648583
223,Greece,1036,32073.9604,0.1,2007.0,11131.302,0.1197918266883784,1.3,59.494009999999996,0.5578693446561074,92.0,0.25,0.32,0.24,-0.04922776500000001,45.03628,10.375799777423108,35.80976457170448
224,Greece,1037,31881.71235,0.1,2008.0,11161.755,0.11628870191112421,1.3,59.32105,0.4943574291880424,92.0,0.25,0.32,0.24,-0.04922776500000001,41.89116,10.36978784382054,33.08160548019967
225,Greece,1039,28726.07928,0.1,2010.0,11177.508999999998,0.11025649811599349,1.3,59.85775,0.4421057951297748,92.0,0.25,0.32,0.24,-0.04922776500000001,39.73062,10.265560674857067,30.656959886219013
226,Greece,1040,26141.31959,0.1,2011.0,11153.046999999999,0.10728718349344354,1.3,59.813759999999995,0.43306610842718823,92.0,0.25,0.32,0.24,-0.04922776500000001,39.19035,10.171272467541396,30.219548552612473
