Building Name,City,Height (m),Height (ft),Floors,Started,Completed,Construction Years,Frame,HPY,Broad
Jinlitong Financial Center Tower 2,Shenzhen,225,738,46,-,2018,-,Concrete,#VALUE!,No
World Trade Center 3,Jakarta,"209,1",686,44,-,2018,-,Concrete,#VALUE!,No
Al Asmakh Tower,Doha,227,745,34,-,2017,-,Concrete,#VALUE!,No
Federation Tower,Moscow,"373,7","1,226",93,-,2016,-,Concrete,#VALUE!,No
Qatar Petroleum District Tower 7,Doha,"222,8",731,47,-,2016,-,Concrete,#VALUE!,No
Asia-Pacific Center,Guiyang,210,689,55,-,2016,-,Concrete,#VALUE!,No
The 118,Dubai,"207,9",682,46,-,2016,-,Concrete,#VALUE!,No
"Chengdu Fantasia Meinian Plaza, Tower C",Chengdu,"204,1",670,48,-,2016,-,Concrete,#VALUE!,No
"Chengdu Fantasia Meinian Plaza, Tower D",Chengdu,"204,1",670,48,-,2016,-,Concrete,#VALUE!,No
Jinan Center Financial City A3-5,Jinan,202,663,44,-,2016,-,Concrete,#VALUE!,No
Greatwall Tower 1,Wuhan,240,787,40,-,2015,-,Concrete,#VALUE!,No
New Victory Hotel Tower,Lanzhou,230,755,51,-,2015,-,Concrete,#VALUE!,No
StarView Condo Tower B,Bangkok,204,669,54,-,2015,-,Concrete,#VALUE!,No
Jiahe Plaza,Dalian,205,673,54,-,2013,-,Concrete,#VALUE!,No
Abraj Al Bait ZamZam Tower,Mecca,279,915,58,-,2012,-,Concrete,#VALUE!,No
Abraj Al Bait Hajar Tower,Mecca,276,906,54,-,2012,-,Concrete,#VALUE!,No
Abraj Al Bait Maqam Tower,Mecca,"232,4",762,61,-,2012,-,Concrete,#VALUE!,No
Abraj Al Bait Qibla Tower,Mecca,"232,4",762,61,-,2012,-,Concrete,#VALUE!,No
LOHAS Park Le Prestige Tower C,Hong Kong,200,656,65,-,2012,-,Concrete,#VALUE!,No
Batumi Technological University Tower,Batumi,200,656,35,-,2012,-,Concrete,#VALUE!,No
The Point,Panama City,266,873,67,-,2011,-,Concrete,#VALUE!,No
Zesheng Twin Tower A,Chongqing,"207,7",681,48,-,2011,-,Concrete,#VALUE!,No
Zesheng Twin Tower B,Chongqing,"207,7",681,48,-,2011,-,Concrete,#VALUE!,No
Kaina Business Plaza,Changzhou,228,748,56,-,2010,-,Concrete,#VALUE!,No
Corniche Tower,Ajman,213,699,53,-,2010,-,Concrete,#VALUE!,No
Taehwa River Iaan Exordium 1,Ulsan,201,659,54,-,2010,-,Concrete,#VALUE!,No
Taehwa River Iaan Exordium 2,Ulsan,201,659,54,-,2010,-,Concrete,#VALUE!,No
Kempinski Residences and Suites,Doha,"253,3",831,64,-,2009,-,Concrete,#VALUE!,No
Hongdou International Plaza,Wuxi,248,814,45,-,2009,-,Concrete,#VALUE!,No
Huanghe River Center Building,Dongguan,230,755,62,-,2009,-,Concrete,#VALUE!,No
Shenyang Royal Wan Xin International Mansion Tower A,Shenyang,219,719,45,-,2009,-,Concrete,#VALUE!,No
The Kitahama,Osaka,209,686,54,-,2009,-,Concrete,#VALUE!,No
One Island East,Hong Kong,"298,1",978,68,-,2008,-,Concrete,#VALUE!,No
The Cullinan I,Hong Kong,"269,9",886,68,-,2008,-,Concrete,#VALUE!,No
The Cullinan II,Hong Kong,"269,9",886,68,-,2008,-,Concrete,#VALUE!,No
One Lujiazui,Shanghai,"269,1",883,47,-,2008,-,Concrete,#VALUE!,No
Centara Grand,Bangkok,235,771,57,-,2008,-,Concrete,#VALUE!,No
Al Ayaan Sharjah Gate Tower,Sharjah,"223,6",734,56,-,2008,-,Concrete,#VALUE!,No
Kempinski Residences,Jakarta,215,705,57,-,2008,-,Concrete,#VALUE!,No
Ocean One,Panama City,208,682,54,-,2008,-,Concrete,#VALUE!,No
Golden Landmark,Shanghai,206,676,41,-,2008,-,Concrete,#VALUE!,No
R&F Center,Guangzhou,243,797,54,-,2007,-,Concrete,#VALUE!,No
New Times Business Center,Wuhan,208,682,48,-,2007,-,Concrete,#VALUE!,No
New Century Plaza Tower 1,Nanjing,"255,2",837,48,-,2006,-,Concrete,#VALUE!,No
The Peak at Sudirman,Jakarta,"218,5",717,55,-,2006,-,Concrete,#VALUE!,No
Metro Town Tower 1,Hong Kong,205,673,62,-,2006,-,Concrete,#VALUE!,No
Metro Town Tower 2,Hong Kong,205,673,62,-,2006,-,Concrete,#VALUE!,No
Chongqing World Trade Center,Chongqing,"283,1",929,60,-,2005,-,Concrete,#VALUE!,No
Suzhou Xindi Center,Suzhou,232,761,54,-,2005,-,Concrete,#VALUE!,No
International Chamber of Commerce Tower,Shenzhen,216,708,55,-,2005,-,Concrete,#VALUE!,No
Indi Home,Hong Kong,212,696,56,-,2005,-,Concrete,#VALUE!,No
